"CP_Pilot_True",1447,1669
"CP_Pilot_False",714,3292
"CP_Not_Sure",1052,1826
"design",122,0.4
"G_Pilot_True",70,54
"G_Pilot_False",71,677
"G_Not_Sure",3332,5796
"CP_Pilot_True",1496,1518
"CP_Pilot_False",875,3312
"CP_Not_Sure",1102,1697
"design",132,0.4
"G_Pilot_True",293,176
"G_Pilot_False",59,626
"G_Not_Sure",3778,5068
"CP_Pilot_True",1583,1153
"CP_Pilot_False",1170,3302
"CP_Not_Sure",1377,1415
"design",162,0.4
"G_Pilot_True",0,2
"G_Pilot_False",46,638
"G_Not_Sure",2363,6951
"CP_Pilot_True",1143,2336
"CP_Pilot_False",489,3095
"CP_Not_Sure",777,2160
"design",92,0.44
"G_Pilot_True",9,16
"G_Pilot_False",34,639
"G_Not_Sure",2685,6617
"CP_Pilot_True",1317,2053
"CP_Pilot_False",507,3129
"CP_Not_Sure",904,2090
"design",102,0.44
"G_Pilot_True",33,22
"G_Pilot_False",50,615
"G_Not_Sure",3086,6194
"CP_Pilot_True",1393,1762
"CP_Pilot_False",724,3173
"CP_Not_Sure",1052,1896
"design",122,0.44
"G_Pilot_True",30,36
"G_Pilot_False",46,627
"G_Not_Sure",3203,6058
"CP_Pilot_True",1476,1654
"CP_Pilot_False",761,3274
"CP_Not_Sure",1042,1793
"design",132,0.44
"G_Pilot_True",192,138
"G_Pilot_False",71,618
"G_Not_Sure",3616,5365
"CP_Pilot_True",1621,1273
"CP_Pilot_False",1043,3281
"CP_Not_Sure",1215,1567
"design",162,0.44
"G_Pilot_True",4,4
"G_Pilot_False",38,649
"G_Not_Sure",2189,7116
"CP_Pilot_True",1099,2497
"CP_Pilot_False",438,3086
"CP_Not_Sure",694,2186
"design",92,0.48
"G_Pilot_True",9,7
"G_Pilot_False",30,628
"G_Not_Sure",2504,6822
"CP_Pilot_True",1223,2225
"CP_Pilot_False",504,3090
"CP_Not_Sure",816,2142
"design",102,0.48
"G_Pilot_True",15,12
"G_Pilot_False",47,593
"G_Not_Sure",2801,6532
"CP_Pilot_True",1312,1966
"CP_Pilot_False",630,3209
